per_theme,N,K_target,K_actual,method,Q,cpm_h,scale_coef,above_limit_frac,ari_newman_vs_cpm,nmi_newman_vs_cpm
3,12,2,2,newman,0.1639,,0.375,1.0,-0.0359,0.1798
3,12,2,2,cpm,-0.0253,9.4612,0.2046,0.5,-0.0359,0.1798
3,12,3,3,newman,0.38,,0.4922,0.6667,1.0,1.0
3,12,3,3,cpm,-0.0568,4.1146,0.2839,0.6667,1.0,1.0
3,12,4,4,newman,0.5494,,0.5,0.25,1.0,1.0
3,12,4,4,cpm,-0.0644,3.4695,0.293,0.25,1.0,1.0
3,12,5,5,newman,0.6328,,0.5156,0.0,1.0,1.0
3,12,5,5,cpm,-0.072,1.4949,0.4066,0.0,1.0,1.0
3,12,6,6,newman,0.7778,,0.5625,0.0,1.0,1.0
3,12,6,6,cpm,-0.0745,0.8015,0.484,0.0,1.0,1.0
3,12,7,7,newman,0.58,,0.582,0.0,1.0,1.0
3,12,7,7,cpm,-0.077,0.225,0.5671,0.0,1.0,1.0
3,12,8,8,newman,0.75,,0.5938,0.0,1.0,1.0
3,12,8,8,cpm,-0.0783,0.1494,0.5823,0.0,1.0,1.0
3,12,9,9,newman,0.6667,,0.5996,0.0,,
3,12,10,10,newman,0.5,,0.6016,0.0,1.0,1.0
3,12,10,10,cpm,-0.0808,0.0776,0.601,0.0,1.0,1.0
5,20,2,2,newman,0.3926,,0.4844,1.0,0.0501,0.1097
5,20,2,2,cpm,-0.0045,28.5055,0.2014,0.5,0.0501,0.1097
5,20,3,3,newman,0.6248,,0.5,1.0,0.6208,0.7378
5,20,3,3,cpm,-0.0317,9.826,0.3073,0.6667,0.6208,0.7378
5,20,4,4,newman,0.6189,,0.5059,0.5,1.0,1.0
5,20,4,4,cpm,-0.0362,9.1144,0.3089,0.5,1.0,1.0
5,20,5,5,newman,0.6655,,0.5156,0.2,0.7411,0.8854
5,20,5,5,cpm,-0.0397,7.5856,0.3415,0.4,0.7411,0.8854
5,20,6,6,newman,0.7163,,0.5312,0.1667,0.9137,0.9475
5,20,6,6,cpm,-0.0426,4.6534,0.3981,0.1667,0.9137,0.9475
5,20,7,7,newman,0.6298,,0.5469,0.1429,0.8094,0.9016
5,20,7,7,cpm,-0.043,3.2797,0.4471,0.1429,0.8094,0.9016
5,20,8,8,newman,0.5306,,0.5625,0.0,0.743,0.9294
5,20,8,8,cpm,-0.0442,1.167,0.5323,0.125,0.743,0.9294
5,20,9,9,newman,0.4408,,0.5781,0.0,0.7802,0.9429
5,20,9,9,cpm,-0.0447,1.0506,0.5379,0.1111,0.7802,0.9429
5,20,10,10,newman,0.6033,,0.5811,0.0,0.8946,0.962
5,20,10,10,cpm,-0.0457,1.0006,0.5408,0.0,0.8946,0.962
5,20,12,12,newman,0.4753,,0.5859,0.0,,
6,24,2,2,newman,0.4049,,0.5,1.0,0.0334,0.0886
6,24,2,2,cpm,-0.0032,43.182,0.2089,0.5,0.0334,0.0886
6,24,3,3,newman,0.5417,,0.5059,1.0,1.0,1.0
6,24,3,3,cpm,-0.027,22.2331,0.2335,1.0,1.0,1.0
6,24,4,4,newman,0.6139,,0.5078,0.75,0.6557,0.8194
6,24,4,4,cpm,-0.0296,13.0955,0.3291,0.75,0.6557,0.8194
6,24,5,5,newman,0.5244,,0.5156,0.6,0.6525,0.8153
6,24,5,5,cpm,-0.0322,11.9365,0.3451,0.6,0.6525,0.8153
6,24,6,6,newman,0.5245,,0.5312,0.1667,0.5071,0.7209
6,24,6,6,cpm,-0.0329,8.8547,0.3939,0.3333,0.5071,0.7209
6,24,7,7,newman,0.6283,,0.5391,0.2857,0.8623,0.9275
6,24,7,7,cpm,-0.0354,6.5753,0.4152,0.4286,0.8623,0.9275
6,24,8,8,newman,0.638,,0.5625,0.125,0.8366,0.9382
6,24,8,8,cpm,-0.0362,5.4964,0.4401,0.25,0.8366,0.9382
6,24,9,9,newman,0.6462,,0.582,0.1111,0.8433,0.9464
6,24,9,9,cpm,-0.0365,3.9298,0.4814,0.2222,0.8433,0.9464
6,24,10,10,newman,0.5734,,0.5859,0.0,0.7988,0.9503
6,24,10,10,cpm,-0.0376,3.2642,0.4943,0.1,0.7988,0.9503
6,24,12,12,newman,0.4325,,0.5938,0.0,0.6972,0.9462
6,24,12,12,cpm,-0.0383,1.8281,0.5465,0.0833,0.6972,0.9462
8,32,2,2,newman,0.2766,,0.5,1.0,0.0,0.0533
8,32,2,2,cpm,-0.0018,96.5025,0.1755,0.5,0.0,0.0533
8,32,3,3,newman,0.5275,,0.5312,1.0,-0.0061,0.0982
8,32,3,3,cpm,-0.0037,60.6338,0.2527,0.3333,-0.0061,0.0982
8,32,4,4,newman,0.5499,,0.5391,0.75,0.7139,0.8423
8,32,4,4,cpm,-0.0208,24.7554,0.3274,0.75,0.7139,0.8423
8,32,5,5,newman,0.5155,,0.541,0.8,0.4895,0.6605
8,32,5,5,cpm,-0.0217,23.3599,0.3361,0.6,0.4895,0.6605
8,32,6,6,newman,0.5153,,0.5469,0.3333,0.4613,0.651
8,32,6,6,cpm,-0.0241,18.0814,0.3716,0.5,0.4613,0.651
8,32,7,7,newman,0.4856,,0.5508,0.2857,0.537,0.7118
8,32,7,7,cpm,-0.0247,14.7673,0.4002,0.4286,0.537,0.7118
8,32,8,8,newman,0.4185,,0.5625,0.125,0.7566,0.9014
8,32,8,8,cpm,-0.0269,9.8702,0.4495,0.25,0.7566,0.9014
8,32,9,9,newman,0.5458,,0.5771,0.2222,0.7788,0.8663
8,32,9,9,cpm,-0.0273,7.9566,0.4764,0.2222,0.7788,0.8663
8,32,10,10,newman,0.4028,,0.5781,0.0,0.4924,0.8031
8,32,10,10,cpm,-0.0276,5.3579,0.513,0.2,0.4924,0.8031
8,32,12,12,newman,0.5374,,0.5938,0.0833,0.676,0.8964
8,32,12,12,cpm,-0.0283,4.8607,0.5211,0.0833,0.676,0.8964
10,40,2,2,newman,0.3034,,0.5156,1.0,0.0053,0.0469
10,40,2,2,cpm,-0.0012,147.9495,0.1831,0.5,0.0053,0.0469
10,40,3,3,newman,0.5555,,0.5312,1.0,-0.0098,0.0763
10,40,3,3,cpm,-0.0024,104.1528,0.2423,0.3333,-0.0098,0.0763
10,40,4,4,newman,0.5667,,0.5469,1.0,0.0044,0.1579
10,40,4,4,cpm,-0.0057,72.323,0.2869,0.25,0.0044,0.1579
10,40,5,5,newman,0.5517,,0.5625,0.8,0.3945,0.558
10,40,5,5,cpm,-0.0175,38.3913,0.3379,0.6,0.3945,0.558
10,40,6,6,newman,0.61,,0.5781,0.6667,0.5524,0.6713
10,40,6,6,cpm,-0.0194,32.711,0.3658,0.5,0.5524,0.6713
10,40,7,7,newman,0.5927,,0.582,0.5714,0.6564,0.7921
10,40,7,7,cpm,-0.0201,27.5218,0.396,0.4286,0.6564,0.7921
10,40,8,8,newman,0.5532,,0.5859,0.375,0.7123,0.7833
10,40,8,8,cpm,-0.0213,18.124,0.4471,0.375,0.7123,0.7833
10,40,9,9,newman,0.6008,,0.5898,0.3333,0.8416,0.8953
10,40,9,9,cpm,-0.0211,17.5772,0.4615,0.3333,0.8416,0.8953
10,40,10,10,newman,0.5435,,0.5938,0.2,,
10,40,12,12,newman,0.3431,,0.5996,0.0833,0.5435,0.8163
10,40,12,12,cpm,-0.0222,11.4497,0.5076,0.1667,0.5435,0.8163
